Symbol,Company,Fiscal Year,Payment Date,ex-dividend Date,Amount
TTLC,TOTAL SENEGAL S.A.,2015,15 July 2016,13 July 2016,935
BNBC,BERNABE CI,2015,8 July 2016,6 July 2016,5500
PRSC,TRACTAFRIC CI,2015,5 July 2016,1 May 2016,13050
FTSC,FILTISAC CI,2015,30 June 2016,28 June 2016,1045
SDSC,BOLLORE TRANSPORT & LOGISTICS,2015,28 June 2016,24 June 2016,9581
SGBC,SGB CI,2015,28 June 2016,24 April 2016,5228
ABJC,SERVAIR ABIDJAN CI,2015,16 June 2016,14 June 2016,1800
STBC,SITAB,2015,9 June 2016,7 June 2016,8150
None,,2015,10 May 2016,6 May 2016,1500
SGBC,SGB CI,2016,4 July 2017,,5837
SGBC,SGB CI,2016,4 July 2017,30 June 2017,5837
TTLC,TOTAL,2016,30 June 2017,28 June 2017,485
CABC,SICABLE,2016,30 June 2017,28 June 2017,2000
SIBC,SIB,2016,9 June 2017,,855
TTLC,TOTAL SENEGAL S.A.,2016,,,450
STBC,SITAB,2016,19 June 2017,15 June 2017,4124
ONTBF,ONATEL BF,2016,1 June 2017,,619.0625
CBIBF,CORIS BANK,2016,9 June 2017,,1120
SLBC,SOLIBRA,2016,8 June 2017,6 June 2017,4101
SLBC,SOLIBRA,2016,8 June 2017,6 June 2017,4101
SIBC,SIB,2016,9 June 2017,7 June 2017,855
CBIBF,CORIS BANK,2016,9 June 2017,7 June 2017,1120
ONTBF,ONATEL BF,2016,1 June 2017,30 May 2017,619.0625
BOAN,BANK OF AFRICA NG,2016,19 May 2017,16 May 2017,4910
ETIT,ECOBANK TG,2016,28 April 2017,28 April 2017,1.208
BOABF,BANK OF AFRICA BF,2016,4 May 2017,30 April 2017,6930
BOAS,BANK OF AFRICA SN,2016,15 May 2017,12 May 2017,1000
BOAC,BANK OF AFRICA CI,2016,8 May 2017,5 May 2017,5480
BOAM,BANK OF AFRICA ML,2016,2 May 2017,28 April 2017,2790
BOAB,BANK OF AFRICA BN,2017,15 May 2017,12 May 2017,8941
FTSC,FILTISAC CI,2016,22 December 2016,22 December 2016,
CIEC,CIE CI,2015,15 September 2016,13 September 2016,2641
TTLC,TOTAL,2015,2 August 2016,29 July 2016,450
BOAS,BANK OF AFRICA SN,2015,1 August 2016,28 July 2016,750
CFAC,CFAO MOTORS CI,2015,29 July 2016,27 July 2016,2297.7
CABC,SICABLE,2015,28 July 2016,26 July 2016,1200
SHEC,VIVO ENERGY CI,2015,27 July 2016,25 July 2016,1665
SOGC,SOGB,2015,25 July 2016,21 July 2016,1710
BICC,BICI CI,2015,20 July 2016,18 July 2016,4231.5
